127.0.0.1 - - [03/Mar/2025:10:31:05 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [03/Mar/2025:10:31:06 +0530] "GET /jspexample1/calc.jsp HTTP/1.1" 200 708
0:0:0:0:0:0:0:1 - - [03/Mar/2025:10:31:06 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [03/Mar/2025:10:31:11 +0530] "POST /jspexample1/calc.jsp HTTP/1.1" 200 708
0:0:0:0:0:0:0:1 - - [03/Mar/2025:10:31:13 +0530] "POST /jspexample1/calc.jsp HTTP/1.1" 200 708
0:0:0:0:0:0:0:1 - - [03/Mar/2025:10:31:25 +0530] "POST /jspexample1/calc.jsp HTTP/1.1" 200 708
0:0:0:0:0:0:0:1 - - [03/Mar/2025:10:31:39 +0530] "POST /jspexample1/calc.jsp HTTP/1.1" 200 708
0:0:0:0:0:0:0:1 - - [03/Mar/2025:10:31:39 +0530] "POST /jspexample1/calc.jsp HTTP/1.1" 200 708
0:0:0:0:0:0:0:1 - - [03/Mar/2025:10:33:25 +0530] "GET /jspexample1/calc.jsp HTTP/1.1" 200 799
0:0:0:0:0:0:0:1 - - [03/Mar/2025:10:33:34 +0530] "POST /jspexample1/calc.jsp HTTP/1.1" 200 802
0:0:0:0:0:0:0:1 - - [03/Mar/2025:10:33:36 +0530] "POST /jspexample1/calc.jsp HTTP/1.1" 200 799
0:0:0:0:0:0:0:1 - - [03/Mar/2025:10:33:46 +0530] "POST /jspexample1/calc.jsp HTTP/1.1" 200 799
0:0:0:0:0:0:0:1 - - [03/Mar/2025:10:34:00 +0530] "POST /jspexample1/calc.jsp HTTP/1.1" 200 799
0:0:0:0:0:0:0:1 - - [03/Mar/2025:10:34:32 +0530] "POST /jspexample1/calc.jsp HTTP/1.1" 200 802
0:0:0:0:0:0:0:1 - - [03/Mar/2025:10:45:42 +0530] "GET /jspexample1/calc.jsp HTTP/1.1" 200 818
0:0:0:0:0:0:0:1 - - [03/Mar/2025:10:45:44 +0530] "POST /jspexample1/calc.jsp HTTP/1.1" 200 818
0:0:0:0:0:0:0:1 - - [03/Mar/2025:10:45:50 +0530] "POST /jspexample1/calc.jsp HTTP/1.1" 200 821
0:0:0:0:0:0:0:1 - - [03/Mar/2025:10:45:52 +0530] "POST /jspexample1/calc.jsp HTTP/1.1" 200 818
0:0:0:0:0:0:0:1 - - [03/Mar/2025:10:45:53 +0530] "POST /jspexample1/calc.jsp HTTP/1.1" 200 818
0:0:0:0:0:0:0:1 - - [03/Mar/2025:10:46:13 +0530] "GET /jspexample1/calc.jsp HTTP/1.1" 200 812
0:0:0:0:0:0:0:1 - - [03/Mar/2025:10:46:23 +0530] "POST /jspexample1/calc.jsp HTTP/1.1" 200 816
0:0:0:0:0:0:0:1 - - [03/Mar/2025:10:57:19 +0530] "GET /jspexample1/calc.jsp HTTP/1.1" 200 808
0:0:0:0:0:0:0:1 - - [03/Mar/2025:10:57:19 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [03/Mar/2025:10:57:25 +0530] "POST /jspexample1/calc.jsp HTTP/1.1" 200 813
0:0:0:0:0:0:0:1 - - [03/Mar/2025:11:12:05 +0530] "GET /jspexample1/datetime.jsp HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [03/Mar/2025:11:12:05 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [03/Mar/2025:11:12:59 +0530] "GET /jspexample1/datetime.jsp HTTP/1.1" 200 229
0:0:0:0:0:0:0:1 - - [03/Mar/2025:11:31:23 +0530] "GET /jspexample1/index.html HTTP/1.1" 200 126
0:0:0:0:0:0:0:1 - - [03/Mar/2025:11:31:23 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [03/Mar/2025:11:32:44 +0530] "GET /jspexample1/index.html HTTP/1.1" 200 294
0:0:0:0:0:0:0:1 - - [03/Mar/2025:11:32:44 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [03/Mar/2025:11:32:52 +0530] "GET /jspexample1/facto.jsp?n1=23 HTTP/1.1" 500 2528
0:0:0:0:0:0:0:1 - - [03/Mar/2025:11:35:32 +0530] "GET /jspexample1/index.html HTTP/1.1" 200 297
0:0:0:0:0:0:0:1 - - [03/Mar/2025:11:35:36 +0530] "GET /jspexample1/facto.jsp?n1=33 HTTP/1.1" 200 218
0:0:0:0:0:0:0:1 - - [03/Mar/2025:11:42:00 +0530] "GET /jspexample1/facto.jsp HTTP/1.1" 200 296
0:0:0:0:0:0:0:1 - - [03/Mar/2025:11:42:17 +0530] "GET /jspexample1/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2025:11:42:21 +0530] "GET /jspexample1/facto.jsp?n1=33 HTTP/1.1" 200 306
0:0:0:0:0:0:0:1 - - [03/Mar/2025:12:15:51 +0530] "GET /jspexample1/fibo.html HTTP/1.1" 200 294
0:0:0:0:0:0:0:1 - - [03/Mar/2025:12:15:51 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [03/Mar/2025:12:15:56 +0530] "GET /jspexample1/fibonacci.jsp?n1=22 HTTP/1.1" 200 272
0:0:0:0:0:0:0:1 - - [03/Mar/2025:12:17:45 +0530] "GET /jspexample1/fibo.html HTTP/1.1" 200 295
0:0:0:0:0:0:0:1 - - [03/Mar/2025:12:17:57 +0530] "GET /jspexample1/fibonacci.jsp?n1=22 HTTP/1.1" 200 272
